Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,Label
3433510.6,15.3,57.6,48.03149849393216,48.03149849393216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.9,0.9,6523.8,65.4,938.0,422.0048238805399,378.2152998084181,337.4,169461611.3201322,13.5,29.110801368404736,535.0097413802393,143171.1393987746,1.0,244.6,Benign
305862.1,7.1,75.8,1.4353417916750455,1.4353417916750455,0.0,0.0,0.0,0.0,0.4,0.9,0.0,0.0,0.0,0.0,0.0,4047.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,666.6,66.0,337.3,102.41206349206348,86.504136967287,160.6,0.0999711036682129,5.5,14.001282297980753,122.33532370051708,21853.4084547745,0.9,38.5,Benign
2422059.0,15.9,64.0,99.5713900917704,99.5713900917704,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,4629.8,66.0,598.0,298.2533491207795,212.50654156032448,329.6,169453279.9871469,13.5,24.38142408876934,300.70912734177546,45225.17766137024,1.0,244.6,Recon-VulScan
194832.9,6.0,64.0,0.6846691241815834,0.6846691241815834,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2474.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1068.0,66.0,111.0,69.00947131428941,11.18239456489028,66.0,169466934.0312495,13.5,11.749055412390472,15.84835353438595,126.50932072044866,1.0,244.6,Benign
690.13,6.0,64.0,59.22474063628388,59.22474063628388,0.0,0.05,0.19,0.09,0.26,0.86,0.0,0.0,0.85,2.78,1.24,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,721.09,61.76,77.19,68.57017314638406,5.157646145898016,68.98,84662359.4690286,9.5,11.705254946526145,7.286687791362222,34.16747666139834,0.94,141.55,MQTT-DoS-Connect
119143.4,6.0,69.9,1.2667986082971594,1.2667986082971594,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1499.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2251.2,66.0,928.0,147.62752328296057,212.3732828182927,78.8,169467121.5618324,13.5,17.181136884195286,300.98548292450016,45603.32290875832,1.0,244.6,Benign
19376.9,6.0,64.0,1.0013773038141052,1.0013773038141052,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,241.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,367.2,66.0,67.8,66.67793650793651,0.851499069267253,66.8,2.6702880859375e-05,5.5,11.547953103690745,1.2042015321058168,0.8095023935500126,0.9,38.5,Benign
30690.07,6.0,64.0,65.43260456581976,65.43260456581976,0.0,0.0,0.08,0.03,0.37,0.93,0.0,0.0,0.17,0.15,1.91,40.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10889.3,383.34,1384.24,996.6787895112284,422.1681649861883,1007.52,84666959.81904072,9.5,43.00127989765654,596.4816606435741,239579.4132415555,0.9,141.55,MQTT-DDoS-Publish
391.87,6.0,64.0,9.197693387436289,9.197693387436289,0.0,0.18,0.09,0.11,0.19,0.88,0.0,0.0,0.91,1.5,0.47,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,700.61,62.84,73.81,66.75891009708386,3.5256169779679727,66.66,84667037.78911586,9.5,11.55279537311145,4.96962644801074,17.088068523568758,0.86,141.55,MQTT-DDoS-Connect
327176.4,8.2,57.7,1.6429764185516065,1.6429764185516065,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,3931.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2769.2,66.0,905.0,180.1695242455343,240.96761039062,228.0,169463422.19024962,13.5,18.98392403791753,341.44625911422906,58940.55158832951,1.0,244.6,Benign
54.0,6.0,64.0,147.02059463590305,147.02059463590305,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1025.0,54.0,242.0,66.57290237969804,46.717559515541616,54.0,169410147.1658311,13.5,11.541360548617032,66.2108992103235,2208.071818046192,1.0,244.6,Recon-Port-Scan
84194.2,9.3,130.1,1.9336792065911788,1.9336792065911788,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,529.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,400.2,53.7,123.0,78.3552380952381,29.861015450255515,69.6,0.0650614023208618,5.5,12.46579565043288,42.22985303598388,997.636590702948,0.9,38.5,Benign
1509.75,6.0,64.0,139.78109451079902,139.78109451079902,0.0,0.0,0.0,0.0,0.69,1.0,0.0,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1643.32,121.28,254.72,157.678511845181,38.45760799560669,164.1,84666497.7079931,9.5,17.613014254295226,54.44247627000531,5128.832060288734,0.58,141.55,MQTT-DoS-Publish
